Algorithm,InputType,InputSize,AvgTimeMillis,AvgMemoryMB,ValidRuns,Stable
InsertionSort,Reversed,1000000,308895.4203,5.63,10,true
BubbleSort,Reversed,1000000,537335.8742,5.41,10,false
MergeSort,PartiallySorted,1000000,146.4521,113.37,10,true
HeapSort,PartiallySorted,1000000,274.0858,0.01,10,false
QuickSort,PartiallySorted,1000000,95.4823,0.01,10,false
CombSort,PartiallySorted,1000000,123.1488,0.01,10,false
TournamentSort,PartiallySorted,1000000,466.2230,10.12,10,false
IntroSort,PartiallySorted,1000000,70.9622,0.01,10,false
TimSort,PartiallySorted,1000000,109.8447,67.13,10,true
InsertionSort,PartiallySorted,1000000,38374.6955,1.91,10,true
SelectionSort,Reversed,1000000,640772.1132,4.70,10,false
CocktailShakerSort,PartiallySorted,1000000,128128.7338,3.50,10,true
CocktailShakerSort,Random,1000000,911423.8526,8.94,10,true
CocktailShakerSort,Reversed,1000000,497377.2678,3.74,10,true
SelectionSort,PartiallySorted,1000000,328222.5323,3.48,10,false
BubbleSort,PartiallySorted,1000000,546939.3944,5.94,10,false
BubbleSort,Random,1000000,1237152.1334,12.03,10,false
